Voltage-Current,,,,,
Time,Voltage(V),Current(A),D+(V),D-(V),Date
10:56:31,5.208,0.0375,0.01,0.01,2023-04-20
10:56:32,5.208,0.0357,0.01,0.01,2023-04-20
10:56:33,5.208,0.0358,0,0,2023-04-20
10:56:34,5.208,0.0358,0,0,2023-04-20
10:56:35,5.208,0.0358,0,0,2023-04-20
10:56:36,5.209,0.0496,0.01,0.01,2023-04-20
10:56:37,5.204,0.0484,0.01,0,2023-04-20
10:56:38,5.205,0.0461,0.01,0,2023-04-20
10:56:39,5.207,0.0363,0,0,2023-04-20
10:56:40,5.208,0.0363,0.01,0.01,2023-04-20
10:56:41,5.208,0.0365,0.01,0.01,2023-04-20
10:56:42,5.208,0.0365,0.01,0.01,2023-04-20
10:56:43,5.208,0.0363,0.01,0.01,2023-04-20
10:56:44,5.208,0.0363,0.01,0.01,2023-04-20
10:56:45,5.208,0.0363,0.01,0.01,2023-04-20
10:56:46,5.208,0.0365,0,0,2023-04-20
10:56:47,5.208,0.0364,0,0,2023-04-20
10:56:48,5.208,0.0363,0,0,2023-04-20
10:56:49,5.208,0.036,0,0,2023-04-20
10:56:50,5.208,0.0359,0.01,0.01,2023-04-20
10:56:51,5.198,0.0644,0.01,0.01,2023-04-20
10:56:52,5.198,0.0554,0.02,0.01,2023-04-20
10:56:53,5.204,0.0463,0.01,0.01,2023-04-20
10:56:54,5.205,0.0435,0.01,0.01,2023-04-20
10:56:55,5.208,0.0357,0.01,0.01,2023-04-20
10:56:56,5.206,0.0431,0.02,0.01,2023-04-20
10:56:57,5.205,0.0453,0.02,0.01,2023-04-20
10:56:58,5.205,0.0454,0.01,0.01,2023-04-20
10:56:59,5.208,0.0357,0,0,2023-04-20
10:57:00,5.208,0.0358,0.01,0.01,2023-04-20
10:57:01,5.209,0.036,0.01,0.01,2023-04-20
10:57:02,5.207,0.0358,0.01,0.01,2023-04-20
10:57:03,5.208,0.0362,0.01,0.01,2023-04-20
10:57:04,5.208,0.036,0.01,0.01,2023-04-20
10:57:05,5.208,0.0358,0.01,0.01,2023-04-20
10:57:06,5.208,0.0361,0.01,0.01,2023-04-20
10:57:07,5.208,0.036,0,0,2023-04-20
10:57:08,5.209,0.0358,0,0,2023-04-20
10:57:09,5.208,0.036,0,0,2023-04-20
10:57:10,5.208,0.036,0,0,2023-04-20
10:57:11,5.208,0.0361,0,0,2023-04-20
10:57:12,5.208,0.0362,0,0,2023-04-20
10:57:13,5.208,0.0362,0.01,0,2023-04-20
10:57:14,5.208,0.0362,0,0,2023-04-20
10:57:15,5.208,0.0361,0.01,0.01,2023-04-20
10:57:16,5.199,0.0648,0.01,0.01,2023-04-20
10:57:17,5.198,0.0645,0.01,0.01,2023-04-20
10:57:18,5.203,0.0463,0.01,0,2023-04-20
10:57:19,5.205,0.0461,0,0,2023-04-20
10:57:20,5.208,0.0363,0.01,0,2023-04-20
10:57:21,5.208,0.0366,0,0,2023-04-20
10:57:22,5.208,0.0362,0,0,2023-04-20
10:57:23,5.208,0.0359,0.01,0,2023-04-20
10:57:24,5.208,0.0358,0.01,0,2023-04-20
10:57:25,5.208,0.0357,0,0,2023-04-20
10:57:26,5.206,0.0484,0.01,0,2023-04-20
10:57:27,5.205,0.0453,0.01,0.01,2023-04-20
10:57:28,5.205,0.0453,0,0,2023-04-20
10:57:29,5.208,0.0357,0,0,2023-04-20
10:57:30,5.208,0.0416,0.01,0.01,2023-04-20
10:57:31,5.202,0.0357,0,0,2023-04-20
10:57:32,5.208,0.036,0.01,0,2023-04-20
10:57:33,5.208,0.036,0,0,2023-04-20
10:57:34,5.208,0.036,0.01,0.01,2023-04-20
10:57:35,5.205,0.0459,0.01,0.01,2023-04-20
10:57:36,5.205,0.0506,0.01,0.01,2023-04-20
10:57:37,5.205,0.0445,0.01,0,2023-04-20
10:57:38,5.205,0.0459,0.01,0,2023-04-20
10:57:39,5.207,0.0357,0.01,0,2023-04-20
10:57:40,5.205,0.047,0.01,0.01,2023-04-20
10:57:41,5.198,0.064,0.01,0.01,2023-04-20
10:57:42,5.198,0.0494,0.01,0.01,2023-04-20
10:57:43,5.205,0.0453,0.01,0.01,2023-04-20
10:57:44,5.205,0.0437,0,0,2023-04-20
10:57:45,5.208,0.0357,0,0,2023-04-20
10:57:46,5.208,0.0359,0,0,2023-04-20
10:57:47,5.208,0.0361,0,0,2023-04-20
10:57:48,5.208,0.0362,0.01,0,2023-04-20
10:57:49,5.208,0.0361,0,0,2023-04-20
10:57:50,5.208,0.0362,0,0,2023-04-20
10:57:51,5.208,0.0361,0,0,2023-04-20
10:57:52,5.208,0.0361,0,0,2023-04-20
10:57:53,5.208,0.0362,0,0,2023-04-20
10:57:54,5.208,0.0365,0.01,0,2023-04-20
10:57:55,5.208,0.0363,0,0,2023-04-20
10:57:56,5.206,0.0474,0.01,0,2023-04-20
10:57:57,5.205,0.0455,0.01,0.01,2023-04-20
10:57:58,5.205,0.0455,0,0,2023-04-20
10:57:59,5.208,0.0357,0,0,2023-04-20
10:58:00,5.209,0.0357,0,0,2023-04-20
10:58:01,5.208,0.0357,0,0,2023-04-20
10:58:02,5.207,0.0369,0,0,2023-04-20
10:58:03,5.208,0.0357,0,0,2023-04-20
10:58:04,5.208,0.0357,0.01,0.01,2023-04-20
10:58:05,5.208,0.0358,0.02,0.01,2023-04-20
10:58:06,5.205,0.064,0.02,0.01,2023-04-20
10:58:07,5.199,0.0625,0.02,0.01,2023-04-20
10:58:08,5.204,0.0467,0.02,0.01,2023-04-20
10:58:09,5.205,0.0453,0.01,0.01,2023-04-20
10:58:10,5.208,0.0357,0.01,0.01,2023-04-20
10:58:11,5.208,0.0367,0.01,0.01,2023-04-20
10:58:12,5.208,0.0357,0,0,2023-04-20
10:58:13,5.209,0.0358,0,0,2023-04-20
10:58:14,5.208,0.0357,0,0,2023-04-20
10:58:15,5.208,0.0357,0,0,2023-04-20
10:58:16,5.208,0.0359,0,0,2023-04-20
10:58:17,5.208,0.0358,0.01,0.01,2023-04-20
10:58:18,5.208,0.0357,0.01,0.01,2023-04-20
10:58:19,5.209,0.0357,0,0,2023-04-20
10:58:20,5.208,0.0356,0,0,2023-04-20
10:58:21,5.208,0.0356,0,0,2023-04-20
10:58:22,5.208,0.0356,0,0,2023-04-20
10:58:23,5.208,0.0356,0,0,2023-04-20
10:58:24,5.208,0.0355,0.01,0,2023-04-20
10:58:25,5.208,0.0355,0.02,0.01,2023-04-20
10:58:26,5.207,0.0396,0.02,0.01,2023-04-20
10:58:27,5.205,0.0453,0.02,0.01,2023-04-20
10:58:28,5.205,0.0453,0.01,0.01,2023-04-20
10:58:29,5.208,0.0357,0.01,0.01,2023-04-20
10:58:30,5.208,0.0357,0.02,0.01,2023-04-20
10:58:31,5.199,0.0642,0.02,0.01,2023-04-20
